iter	Passed	Remaining
414	3151	4442
415	3157	4433
416	3165	4425
417	3172	4417
418	3179	4409
419	3186	4400
420	3194	4393
421	3201	4385
422	3209	4377
423	3216	4369
424	3223	4361
425	3230	4353
426	3238	4345
427	3245	4337
428	3252	4329
429	3260	4321
430	3267	4314
431	3275	4306
432	3282	4298
433	3290	4291
434	3298	4283
435	3305	4276
436	3312	4268
437	3320	4260
438	3327	4252
439	3334	4244
440	3341	4236
441	3349	4228
442	3357	4220
443	3364	4213
444	3371	4205
445	3378	4197
446	3386	4189
447	3393	4181
448	3401	4173
449	3408	4166
450	3416	4158
451	3423	4150
452	3430	4142
453	3438	4134
454	3445	4127
455	3452	4119
456	3460	4111
457	3467	4103
458	3474	4095
459	3482	4088
460	3488	4078
461	3495	4071
462	3503	4063
463	3510	4055
464	3517	4047
465	3524	4039
466	3532	4031
467	3539	4023
468	3547	4016
469	3554	4008
470	3561	3999
471	3568	3991
472	3576	3984
473	3583	3976
474	3590	3968
475	3597	3960
476	3605	3952
477	3612	3945
478	3619	3937
479	3627	3929
480	3634	3921
481	3641	3913
482	3649	3906
483	3656	3898
484	3663	3890
485	3671	3882
486	3678	3874
487	3685	3867
488	3693	3859
489	3700	3851
490	3708	3844
491	3715	3836
492	3722	3827
493	3729	3819
494	3736	3811
495	3743	3804
496	3751	3796
497	3758	3788
498	3766	3781
499	3773	3773
500	3781	3766
501	3788	3758
502	3795	3750
503	3802	3742
504	3810	3735
505	3817	3727
506	3825	3719
507	3832	3711
508	3839	3704
509	3847	3696
510	3854	3688
511	3861	3680
512	3868	3672
513	3875	3664
514	3883	3656
515	3890	3649
516	3897	3641
517	3905	3634
518	3913	3626
519	3920	3618
520	3927	3611
521	3935	3603
522	3942	3596
523	3950	3588
524	3957	3580
525	3964	3573
526	3972	3565
527	3979	3557
528	3987	3550
529	3994	3542
530	4001	3534
531	4009	3527
532	4016	3519
533	4023	3511
534	4031	3503
535	4038	3495
536	4045	3488
537	4053	3480
538	4060	3472
539	4067	3465
540	4075	3457
541	4082	3449
542	4089	3442
543	4097	3434
544	4104	3426
545	4111	3418
546	4119	3411
547	4126	3403
548	4132	3394
549	4139	3387
550	4147	3379
551	4154	3371
552	4161	3363
553	4168	3355
554	4175	3348
555	4183	3340
556	4190	3333
557	4198	3325
558	4205	3317
559	4212	3310
560	4220	3302
561	4227	3295
562	4235	3287
563	4242	3279
564	4250	3272
565	4256	3264
566	4263	3256
567	4271	3248
568	4278	3241
569	4286	3233
570	4293	3225
571	4301	3218
572	4308	3210
573	4316	3203
574	4323	3195
575	4331	3188
576	4338	3180
577	4346	3173
578	4353	3165
579	4360	3157
580	4367	3149
581	4374	3142
582	4382	3134
583	4390	3127
584	4398	3120
585	4406	3113
586	4414	3106
587	4422	3098
588	4429	3090
589	4437	3083
590	4443	3075
591	4451	3067
592	4458	3059
